,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches,Recall Rate of Matches,1 - Precision Rate of Matches,F-Score
0,Industrial_Estate,22.321428571428573,SIFT,0.10714285714285714,0.0048,0.9952,0.0048000000000000135
1,Industrial_Estate,22.321428571428573,SIFT,0.15178571428571427,0.006799999999999999,0.9932,0.0068000000000000135
2,Industrial_Estate,22.321428571428573,SIFT,0.3125,0.013999999999999999,0.986,0.014000000000000005
3,Industrial_Estate,22.321428571428573,SIFT,0.09821428571428571,0.004399999999999999,0.9956,0.0043999999999999794
4,Industrial_Estate,22.321428571428573,SIFT,0.1875,0.0084,0.9916,0.008399999999999982
5,Industrial_Estate,22.321428571428573,SIFT,0.11607142857142858,0.0052,0.9948,0.005199999999999991
6,Industrial_Estate,22.321428571428573,SIFT,0.36607142857142855,0.016399999999999998,0.9836,0.016399999999999984
7,Industrial_Estate,22.321428571428573,SIFT,0.35714285714285715,0.016,0.984,0.016000000000000007
8,Industrial_Estate,22.321428571428573,SIFT,0.14285714285714285,0.0063999999999999994,0.9936,0.00639999999999998
9,Industrial_Estate,22.321428571428573,SIFT,0.20535714285714285,0.0092,0.9908,0.009199999999999993
10,Industrial_Estate,22.321428571428573,SIFT,0.07142857142857142,0.0031999999999999997,0.9967999999999999,0.0032000000000000453
11,Industrial_Estate,22.330357142857142,SIFT,0.2767857142857143,0.012395041983206718,0.9876049580167933,0.012395041983206725
12,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
13,Industrial_Estate,22.321428571428573,SIFT,0.07142857142857142,0.0031999999999999997,0.9967999999999999,0.0032000000000000453
14,Industrial_Estate,22.321428571428573,SIFT,0.08928571428571429,0.004,0.996,0.004000000000000002
15,Industrial_Estate,22.321428571428573,SIFT,1.625,0.07279999999999999,0.9272,0.07279999999999999
16,Industrial_Estate,22.321428571428573,SIFT,0.0625,0.0028,0.9972,0.002800000000000012
17,Industrial_Estate,22.321428571428573,SIFT,0.08928571428571429,0.004,0.996,0.004000000000000002
18,Industrial_Estate,22.321428571428573,SIFT,0.2857142857142857,0.012799999999999999,0.9872000000000001,0.01279999999999996
19,Industrial_Estate,22.321428571428573,SIFT,0.09821428571428571,0.004399999999999999,0.9956,0.0043999999999999794
20,Industrial_Estate,22.321428571428573,SIFT,0.24107142857142858,0.010799999999999999,0.9892000000000001,0.01079999999999996
21,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
22,Industrial_Estate,22.321428571428573,SIFT,0.25892857142857145,0.011600000000000001,0.9884,0.011600000000000029
23,Industrial_Estate,22.321428571428573,SIFT,0.09821428571428571,0.004399999999999999,0.9956,0.0043999999999999794
24,Industrial_Estate,22.339285714285715,SIFT,1.1875,0.05315747402078337,0.9468425259792166,0.05315747402078339
25,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
26,Industrial_Estate,22.321428571428573,SIFT,0.23214285714285715,0.0104,0.9895999999999999,0.010400000000000038
27,Industrial_Estate,22.321428571428573,SIFT,0.25,0.0112,0.9888,0.011199999999999993
28,Industrial_Estate,22.321428571428573,SIFT,0.6071428571428571,0.027199999999999995,0.9728,0.0272
29,Industrial_Estate,22.321428571428573,SIFT,0.3482142857142857,0.015599999999999998,0.9844,0.015599999999999973
30,Industrial_Estate,22.321428571428573,SIFT,0.32142857142857145,0.0144,0.9855999999999999,0.01440000000000004
31,Industrial_Estate,22.321428571428573,SIFT,0.26785714285714285,0.011999999999999999,0.988,0.012000000000000005
32,Industrial_Estate,22.321428571428573,SIFT,0.13392857142857142,0.005999999999999999,0.9939999999999999,0.006000000000000058
33,Industrial_Estate,22.321428571428573,SIFT,0.15178571428571427,0.006799999999999999,0.9932,0.0068000000000000135
34,Industrial_Estate,22.321428571428573,SIFT,0.25,0.0112,0.9888,0.011199999999999993
35,Industrial_Estate,22.321428571428573,SIFT,0.09821428571428571,0.004399999999999999,0.9956,0.0043999999999999794
36,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
37,Industrial_Estate,22.321428571428573,SIFT,0.08928571428571429,0.004,0.996,0.004000000000000002
38,Industrial_Estate,22.321428571428573,SIFT,0.25892857142857145,0.011600000000000001,0.9884,0.011600000000000029
39,Industrial_Estate,22.321428571428573,SIFT,0.05357142857142857,0.0024,0.9976,0.002399999999999979
40,Industrial_Estate,22.321428571428573,SIFT,0.0625,0.0028,0.9972,0.002800000000000012
41,Industrial_Estate,22.321428571428573,SIFT,1.0803571428571428,0.04839999999999999,0.9516,0.04839999999999999
42,Industrial_Estate,22.321428571428573,SIFT,0.13392857142857142,0.005999999999999999,0.9939999999999999,0.006000000000000058
43,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
44,Industrial_Estate,22.321428571428573,SIFT,0.5446428571428571,0.024399999999999995,0.9756,0.024399999999999988
45,Industrial_Estate,22.321428571428573,SIFT,0.0625,0.0028,0.9972,0.002800000000000012
46,Industrial_Estate,22.321428571428573,SIFT,0.25,0.0112,0.9888,0.011199999999999993
47,Industrial_Estate,22.321428571428573,SIFT,1.375,0.061599999999999995,0.9384,0.061599999999999995
48,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
49,Industrial_Estate,22.330357142857142,SIFT,1.0,0.044782087165133946,0.955217912834866,0.04478208716513397
50,Industrial_Estate,22.321428571428573,SIFT,0.5089285714285714,0.022799999999999997,0.9772,0.022800000000000018
51,Industrial_Estate,22.321428571428573,SIFT,0.33035714285714285,0.014799999999999999,0.9852000000000001,0.01479999999999996
52,Industrial_Estate,22.330357142857142,SIFT,0.4732142857142857,0.021191523390643743,0.9788084766093563,0.02119152339064371
53,Industrial_Estate,22.321428571428573,SIFT,0.26785714285714285,0.011999999999999999,0.988,0.012000000000000005
54,Industrial_Estate,22.321428571428573,SIFT,0.4107142857142857,0.0184,0.9816,0.018399999999999986
55,Industrial_Estate,22.321428571428573,SIFT,0.4375,0.0196,0.9804,0.019599999999999975
56,Industrial_Estate,22.321428571428573,SIFT,0.42857142857142855,0.0192,0.9808000000000001,0.019199999999999943
57,Industrial_Estate,22.321428571428573,SIFT,0.26785714285714285,0.011999999999999999,0.988,0.012000000000000005
58,Industrial_Estate,22.321428571428573,SIFT,0.4732142857142857,0.021199999999999997,0.9788,0.021199999999999997
59,Industrial_Estate,22.321428571428573,SIFT,2.0357142857142856,0.09119999999999999,0.9088,0.09119999999999996
60,Industrial_Estate,22.321428571428573,SIFT,0.17857142857142858,0.008,0.9920000000000001,0.007999999999999948
61,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
62,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
63,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
64,Industrial_Estate,22.321428571428573,SIFT,0.07142857142857142,0.0031999999999999997,0.9967999999999999,0.0032000000000000453
65,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
66,Industrial_Estate,22.321428571428573,SIFT,0.10714285714285714,0.0048,0.9952,0.0048000000000000135
67,Industrial_Estate,22.321428571428573,SIFT,0.08035714285714286,0.0036,0.9964000000000001,0.0035999999999999682
68,Industrial_Estate,22.321428571428573,SIFT,0.1875,0.0084,0.9916,0.008399999999999982
69,Industrial_Estate,22.321428571428573,SIFT,0.05357142857142857,0.0024,0.9976,0.002399999999999979
70,Industrial_Estate,22.321428571428573,SIFT,0.07142857142857142,0.0031999999999999997,0.9967999999999999,0.0032000000000000453
71,Industrial_Estate,22.321428571428573,SIFT,0.3125,0.013999999999999999,0.986,0.014000000000000005
72,Industrial_Estate,22.321428571428573,SIFT,0.49107142857142855,0.022,0.9780000000000001,0.021999999999999954
73,Industrial_Estate,22.321428571428573,SIFT,0.14285714285714285,0.0063999999999999994,0.9936,0.00639999999999998
74,Industrial_Estate,22.321428571428573,SIFT,0.125,0.0056,0.9944,0.005600000000000024
75,Industrial_Estate,22.321428571428573,SIFT,0.36607142857142855,0.016399999999999998,0.9836,0.016399999999999984
76,Industrial_Estate,22.321428571428573,SIFT,0.17857142857142858,0.008,0.9920000000000001,0.007999999999999948
77,Industrial_Estate,22.321428571428573,SIFT,0.32142857142857145,0.0144,0.9855999999999999,0.01440000000000004
78,Industrial_Estate,22.321428571428573,SIFT,0.22321428571428573,0.01,0.99,0.010000000000000004
79,Industrial_Estate,22.321428571428573,SIFT,0.8125,0.036399999999999995,0.9636,0.036399999999999995
80,Industrial_Estate,22.321428571428573,SIFT,0.08928571428571429,0.004,0.996,0.004000000000000002
81,Industrial_Estate,22.321428571428573,SIFT,0.14285714285714285,0.0063999999999999994,0.9936,0.00639999999999998
82,Industrial_Estate,22.321428571428573,SIFT,0.25892857142857145,0.011600000000000001,0.9884,0.011600000000000029
83,Industrial_Estate,22.321428571428573,SIFT,0.11607142857142858,0.0052,0.9948,0.005199999999999991
84,Industrial_Estate,22.321428571428573,SIFT,0.26785714285714285,0.011999999999999999,0.988,0.012000000000000005
85,Industrial_Estate,22.330357142857142,SIFT,0.25892857142857145,0.011595361855257898,0.988404638144742,0.011595361855257951
86,Industrial_Estate,22.321428571428573,SIFT,0.1875,0.0084,0.9916,0.008399999999999982
87,Industrial_Estate,22.330357142857142,SIFT,1.3839285714285714,0.061975209916033586,0.9380247900839663,0.06197520991603363
88,Industrial_Estate,22.321428571428573,SIFT,3.9017857142857144,0.17479999999999998,0.8251999999999999,0.17480000000000004
89,Industrial_Estate,22.330357142857142,SIFT,1.0,0.044782087165133946,0.955217912834866,0.04478208716513397
90,Industrial_Estate,22.339285714285715,SIFT,0.5267857142857143,0.02358113509192646,0.9764188649080735,0.023581135091926476
91,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
92,Industrial_Estate,22.321428571428573,SIFT,0.0625,0.0028,0.9972,0.002800000000000012
93,Industrial_Estate,22.321428571428573,SIFT,0.05357142857142857,0.0024,0.9976,0.002399999999999979
94,Industrial_Estate,22.321428571428573,SIFT,0.09821428571428571,0.004399999999999999,0.9956,0.0043999999999999794
95,Industrial_Estate,22.321428571428573,SIFT,0.16964285714285715,0.0076,0.9924,0.007600000000000026
96,Industrial_Estate,22.321428571428573,SIFT,0.25,0.0112,0.9888,0.011199999999999993
97,Industrial_Estate,22.321428571428573,SIFT,0.33035714285714285,0.014799999999999999,0.9852000000000001,0.01479999999999996
98,Industrial_Estate,22.321428571428573,SIFT,0.29464285714285715,0.0132,0.9868,0.013199999999999995
99,Industrial_Estate,22.330357142857142,SIFT,0.16071428571428573,0.007197121151539385,0.9928028788484606,0.007197121151539375
100,Industrial_Estate,22.321428571428573,SIFT,0.5446428571428571,0.024399999999999995,0.9756,0.024399999999999988
101,Industrial_Estate,22.321428571428573,SIFT,0.08928571428571429,0.004,0.996,0.004000000000000002
102,Industrial_Estate,22.321428571428573,SIFT,0.29464285714285715,0.0132,0.9868,0.013199999999999995
103,Industrial_Estate,22.321428571428573,SIFT,0.05357142857142857,0.0024,0.9976,0.002399999999999979
104,Industrial_Estate,22.321428571428573,SIFT,0.21428571428571427,0.0096,0.9904,0.009600000000000027
105,Industrial_Estate,22.321428571428573,SIFT,0.4017857142857143,0.018,0.982,0.018000000000000006
106,Industrial_Estate,22.321428571428573,SIFT,0.38392857142857145,0.0172,0.9827999999999999,0.017200000000000052
107,Industrial_Estate,22.321428571428573,SIFT,0.2767857142857143,0.0124,0.9875999999999999,0.012400000000000038
108,Industrial_Estate,22.321428571428573,SIFT,0.16964285714285715,0.0076,0.9924,0.007600000000000026
109,Industrial_Estate,22.321428571428573,SIFT,1.6160714285714286,0.07239999999999999,0.9276000000000001,0.07239999999999995
110,Industrial_Estate,22.321428571428573,SIFT,0.5714285714285714,0.025599999999999998,0.9743999999999999,0.025600000000000032
111,Industrial_Estate,22.321428571428573,SIFT,0.08035714285714286,0.0036,0.9964000000000001,0.0035999999999999682
